2025-09-25 02:32:17 | logger_config        | INFO     | _setup_logging :100  | ================================================================================
2025-09-25 02:32:17 | logger_config        | INFO     | _setup_logging :101  | AMANUENSIS LOGGING SYSTEM INITIALIZED
2025-09-25 02:32:17 | logger_config        | INFO     | _setup_logging :102  | Main log file: logs\amanuensis_20250925_023217.log
2025-09-25 02:32:17 | logger_config        | INFO     | _setup_logging :103  | Error log file: logs\amanuensis_errors_20250925_023217.log
2025-09-25 02:32:17 | logger_config        | INFO     | _setup_logging :104  | Audio log file: logs\amanuensis_audio_20250925_023217.log
2025-09-25 02:32:17 | logger_config        | INFO     | _setup_logging :105  | ================================================================================
2025-09-25 02:32:18 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:18 | transcription_config | DEBUG    | ensure_directories:88   | Ensured directory exists: data\transcripts
2025-09-25 02:32:18 | transcription_config | DEBUG    | ensure_directories:88   | Ensured directory exists: data\recordings
2025-09-25 02:32:18 | transcription_config | DEBUG    | ensure_directories:88   | Ensured directory exists: whisper_models
2025-09-25 02:32:18 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :190  | Transcription Configuration:
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :191  |   Model: medium
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :192  |   Device: cuda
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :193  |   Compute Type: float16
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :194  |   Chunk Duration: 5.0s
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :195  |   VAD Enabled: True
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :196  |   Audio Capture Mode: auto
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :197  |   Loopback Device: default
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :198  |   Capture Format: 44100Hz, 2ch, 1024 frames
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :199  |   Recordings Dir: data\recordings
2025-09-25 02:32:18 | transcription_config | INFO     | log_config     :200  |   Transcripts Dir: data\transcripts
2025-09-25 02:32:18 | whisper_model_manager | INFO     | __init__       :367  | WhisperModelManager initialized with models dir: G:\Projects\Amanuensis\whisper_models
2025-09-25 02:32:18 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:18 | whisper_model_manager | DEBUG    | is_model_installed:383  | Checking if model 'tiny' is installed (using cpu)
2025-09-25 02:32:18 | faster_whisper       | WARNING  | download_model :124  | An error occured while synchronizing the model Systran/faster-whisper-tiny from the Hugging Face Hub:
Cannot find an appropriate cached snapshot folder for the specified revision on the local disk and outgoing traffic has been disabled. To enable repo look-ups and downloads online, pass 'local_files_only=False' as input.
2025-09-25 02:32:18 | faster_whisper       | WARNING  | download_model :129  | Trying to load the model directly from the local cache, if it exists.
2025-09-25 02:32:18 | whisper_model_manager | DEBUG    | is_model_installed:400  | Model tiny not found locally: Cannot find an appropriate cached snapshot folder for the specified revision on the local disk and outgoing traffic has been disabled. To enable repo look-ups and downloads online, pass 'local_files_only=False' as input.
2025-09-25 02:32:18 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:18 | whisper_model_manager | DEBUG    | is_model_installed:383  | Checking if model 'tiny' is installed (using cpu)
2025-09-25 02:32:18 | faster_whisper       | WARNING  | download_model :124  | An error occured while synchronizing the model Systran/faster-whisper-tiny from the Hugging Face Hub:
Cannot find an appropriate cached snapshot folder for the specified revision on the local disk and outgoing traffic has been disabled. To enable repo look-ups and downloads online, pass 'local_files_only=False' as input.
2025-09-25 02:32:18 | faster_whisper       | WARNING  | download_model :129  | Trying to load the model directly from the local cache, if it exists.
2025-09-25 02:32:18 | whisper_model_manager | DEBUG    | is_model_installed:400  | Model tiny not found locally: Cannot find an appropriate cached snapshot folder for the specified revision on the local disk and outgoing traffic has been disabled. To enable repo look-ups and downloads online, pass 'local_files_only=False' as input.
2025-09-25 02:32:18 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:18 | whisper_model_manager | DEBUG    | is_model_installed:383  | Checking if model 'base' is installed (using cpu)
2025-09-25 02:32:18 | faster_whisper       | WARNING  | download_model :124  | An error occured while synchronizing the model Systran/faster-whisper-base from the Hugging Face Hub:
Cannot find an appropriate cached snapshot folder for the specified revision on the local disk and outgoing traffic has been disabled. To enable repo look-ups and downloads online, pass 'local_files_only=False' as input.
2025-09-25 02:32:18 | faster_whisper       | WARNING  | download_model :129  | Trying to load the model directly from the local cache, if it exists.
2025-09-25 02:32:18 | whisper_model_manager | DEBUG    | is_model_installed:400  | Model base not found locally: Cannot find an appropriate cached snapshot folder for the specified revision on the local disk and outgoing traffic has been disabled. To enable repo look-ups and downloads online, pass 'local_files_only=False' as input.
2025-09-25 02:32:18 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:18 | whisper_model_manager | DEBUG    | is_model_installed:383  | Checking if model 'small' is installed (using cpu)
2025-09-25 02:32:19 | whisper_model_manager | DEBUG    | is_model_installed:396  | Model small is installed and ready for use on cuda
2025-09-25 02:32:19 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:19 | whisper_model_manager | DEBUG    | is_model_installed:383  | Checking if model 'medium' is installed (using cpu)
2025-09-25 02:32:21 | whisper_model_manager | DEBUG    | is_model_installed:396  | Model medium is installed and ready for use on cuda
2025-09-25 02:32:21 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:21 | whisper_model_manager | DEBUG    | is_model_installed:383  | Checking if model 'large' is installed (using cpu)
